req_id,instrument_code,legal_ref,text_en,text_de,topic_tags,primary_evidence_types,supporting_evidence_types,keywords_en,keywords_de,source_sha256_en,source_sha256_de
DORA_2022_2554|17|1|-|001,DORA_2022_2554,Art. 17(1),"1. Financial entities shall define, establish and implement an ICT-related incident management process to detect, manage
and notify ICT-related incidents.","(1) Finanzunternehmen bestimmen einen Prozess für die Behandlung IKT-bezogener Vorfälle, richten diese ein und
wenden sie an, um IKT-bezogene Vorfälle zu erkennen, zu behandeln und zu melden.",DORA|INCIDENT,PROCEDURE_RUNBOOK|INCIDENT_RECORD,POLICY|POSTMORTEM|TEST_EVIDENCE|TRAINING_ATTESTATION,classification|incident|reporting,,85307f9e2a0409826dd0f54489645935816d16e929f0db4db3ef15badd11d38c,0eb896db808c049c02b6aa18a6255f188a90c034976203d8edd5cc43414e205a
DORA_2022_2554|17|2|-|001,DORA_2022_2554,Art. 17(2),"2. Financial entities shall record all ICT-related incidents and significant cyber threats. Financial entities shall establish
appropriate procedures and processes to ensure a consistent and integrated monitoring, handling and follow-up of ICTrelated incidents, to ensure that root causes are identified, documented and addressed in order to prevent the occurrence of
such incidents.
L 333/40 EN Official Journal of the European Union 27.12.2022","(2) Finanzunternehmen erfassen alle IKT-bezogenen Vorfälle und erheblichen Cyberbedrohungen. Finanzunternehmen
richten angemessene Verfahren und Prozesse ein, um die kohärente und integrierte Überwachung, Handhabung und
Weiterverfolgung IKT-bezogener Vorfälle zu gewährleisten, um sicherzustellen, dass Ursachen ermittelt, dokumentiert und
angegangen werden, um das Auftreten solcher Vorfälle zu verhindern.
L 333/40 DE Amtsblatt der Europäischen Union 27.12.2022",DORA|INCIDENT,PROCEDURE_RUNBOOK|INCIDENT_RECORD,POLICY|POSTMORTEM|TEST_EVIDENCE|TRAINING_ATTESTATION,classification|incident|reporting,,85307f9e2a0409826dd0f54489645935816d16e929f0db4db3ef15badd11d38c,0eb896db808c049c02b6aa18a6255f188a90c034976203d8edd5cc43414e205a
DORA_2022_2554|17|3|-|001,DORA_2022_2554,Art. 17(3),"3. The ICT-related incident management process referred to in paragraph 1 shall:
(a) put in place early warning indicators;
(b) establish procedures to identify, track, log, categorise and classify ICT-related incidents according to their priority and
severity and according to the criticality of the services impacted, in accordance with the criteria set out in Article 18(1);
(c) assign roles and responsibilities that need to be activated for different ICT-related incident types and scenarios;
(d) set out plans for communication to staff, external stakeholders and media in accordance with Article 14 and for
notification to clients, for internal escalation procedures, including ICT-related customer complaints, as well as for the
provision of information to financial entities that act as counterparts, as appropriate;
(e) ensure that at least major ICT-related incidents are reported to relevant senior management and inform the
management body of at least major ICT-related incidents, explaining the impact, response and additional controls to
be established as a result of such ICT-related incidents;
(f) establish ICT-related incident response procedures to mitigate impacts and ensure that services become operational and
secure in a timely manner.","(3) Durch den in Absatz 1 genannten Prozess für die Behandlung IKT-bezogener Vorfälle
a) werden Frühwarnindikatoren eingesetzt;
b) werden Verfahren zur Ermittlung, Nachverfolgung, Protokollierung, Kategorisierung und Klassifizierung IKT-bezogener
Vorfälle entsprechend ihrer Priorität und Schwere und entsprechend der Kritikalität der betroffenen Dienste
entsprechend den in Artikel 18 Absatz 1 genannten Kriterien eingerichtet;
c) werden Funktionen und Zuständigkeiten zugewiesen, die bei verschiedenen Arten von IKT-bezogenen Vorfällen und
-Szenarien aktiviert werden müssen;
d) werden gemäß Artikel 14 Pläne für die Kommunikation mit Personal, externen Interessenträgern und Medien sowie für
die Benachrichtigung von Kunden, für interne Eskalationsverfahren, einschließlich IKT-bezogener Kundenbeschwerden,
und für die Bereitstellung von Informationen an andere Finanzunternehmen, die als Gegenparteien fungieren,
ausgearbeitet, je nach Sachlage;
e) wird sichergestellt, dass zumindest schwerwiegende IKT-bezogene Vorfälle der zuständigen höheren Führungsebene
gemeldet werden und die Geschäftsleitung informiert wird, wobei die Auswirkungen und Gegenmaßnahmen und
zusätzliche Kontrollen erläutert werden, die infolge dieser IKT-bezogenen Vorfälle einzurichten sind;
f) werden Verfahren für Reaktionsmaßnahmen bei IKT-bezogenen Vorfällen eingerichtet, um Auswirkungen zu mindern
und sicherzustellen, dass die Dienste zeitnah verfügbar und sicher werden.",DORA|INCIDENT,PROCEDURE_RUNBOOK|INCIDENT_RECORD,POLICY|POSTMORTEM|TEST_EVIDENCE|TRAINING_ATTESTATION,classification|incident|reporting,,85307f9e2a0409826dd0f54489645935816d16e929f0db4db3ef15badd11d38c,0eb896db808c049c02b6aa18a6255f188a90c034976203d8edd5cc43414e205a
DORA_2022_2554|18|1|-|001,DORA_2022_2554,Art. 18(1),"1. Financial entities shall classify ICT-related incidents and shall determine their impact based on the following criteria:
(a) the number and/or relevance of clients or financial counterparts affected and, where applicable, the amount or number
of transactions affected by the ICT-related incident, and whether the ICT-related incident has caused reputational
impact;
(b) the duration of the ICT-related incident, including the service downtime;
(c) the geographical spread with regard to the areas affected by the ICT-related incident, particularly if it affects more than
two Member States;
(d) the data losses that the ICT-related incident entails, in relation to availability, authenticity, integrity or confidentiality of
data;
(e) the criticality of the services affected, including the financial entity’s transactions and operations;
(f) the economic impact, in particular direct and indirect costs and losses, of the ICT-related incident in both absolute and
relative terms.","(1) Finanzunternehmen klassifizieren IKT-bezogene Vorfälle und bestimmen deren Auswirkungen anhand folgender
Kriterien:
a) Anzahl und/oder Relevanz der Kunden oder anderer Gegenparteien im Finanzbereich, die von dem IKT-bezogenen
Vorfall betroffen sind, und gegebenenfalls des Werts oder der Anzahl der davon betroffenen Transaktionen und ob der
IKT-bezogene Vorfall einen Reputationsschaden verursacht hat;
b) Dauer des IKT-bezogenen Vorfalls, einschließlich der Ausfallzeiten des Dienstes;
c) geografische Ausbreitung der von dem IKT-bezogenen Vorfall betroffenen Gebiete, insbesondere wenn mehr als zwei
Mitgliedstaaten betroffen sind;
d) die mit dem IKT-bezogenen Vorfall verbundenen Verfügbarkeits-, Authentizitäts-, Integritäts- oder Vertraulichkeits
verluste von Daten;
e) Kritikalität der betroffenen Dienste, einschließlich der Transaktionen und Geschäfte des Finanzunternehmens;
f) wirtschaftliche Auswirkungen — insbesondere direkte und indirekte Kosten und Verluste — des IKT-bezogenen Vorfalls
auf absoluter und relativer Basis.",DORA|INCIDENT,PROCEDURE_RUNBOOK|INCIDENT_RECORD,POLICY|POSTMORTEM|TEST_EVIDENCE|TRAINING_ATTESTATION,classification|incident|reporting,IKT-Vorfall|Klassifikation|Meldung,85307f9e2a0409826dd0f54489645935816d16e929f0db4db3ef15badd11d38c,0eb896db808c049c02b6aa18a6255f188a90c034976203d8edd5cc43414e205a
DORA_2022_2554|18|2|-|001,DORA_2022_2554,Art. 18(2),"2. Financial entities shall classify cyber threats as significant based on the criticality of the services at risk, including the
financial entity’s transactions and operations, number and/or relevance of clients or financial counterparts targeted and the
geographical spread of the areas at risk.","(2) Finanzunternehmen stufen Cyberbedrohungen auf der Grundlage der Kritikalität der risikobehafteten Dienste,
einschließlich der Transaktionen und Geschäfte des Finanzunternehmens, der Anzahl und/oder Relevanz der betroffenen
Kunden oder Gegenparteien im Finanzbereich und der geografischen Ausbreitung der Risikogebiete als erheblich ein.",DORA|INCIDENT,PROCEDURE_RUNBOOK|INCIDENT_RECORD,POLICY|POSTMORTEM|TEST_EVIDENCE|TRAINING_ATTESTATION,,,85307f9e2a0409826dd0f54489645935816d16e929f0db4db3ef15badd11d38c,0eb896db808c049c02b6aa18a6255f188a90c034976203d8edd5cc43414e205a
DORA_2022_2554|18|3|-|001,DORA_2022_2554,Art. 18(3),"3. The ESAs shall, through the Joint Committee and in consultation with the ECB and ENISA, develop common draft
regulatory technical standards further specifying the following:
(a) the criteria set out in paragraph 1, including materiality thresholds for determining major ICT-related incidents or, as
applicable, major operational or security payment-related incidents, that are subject to the reporting obligation laid
down in Article 19(1);
(b) the criteria to be applied by competent authorities for the purpose of assessing the relevance of major ICT-related
incidents or, as applicable, major operational or security payment-related incidents, to relevant competent authorities
in other Member States’, and the details of reports of major ICT-related incidents or, as applicable, major operational
or security payment-related incidents, to be shared with other competent authorities pursuant to Article 19(6) and (7);
(c) the criteria set out in paragraph 2 of this Article, including high materiality thresholds for determining significant cyber
threats.
27.12.2022 EN Official Journal of the European Union L 333/41","(3) Die ESA erarbeiten über den Gemeinsamen Ausschuss in Abstimmung mit der EZB und der ENISA gemeinsame
Entwürfe technischer Regulierungsstandards, in denen Folgendes präzisiert wird:
a) die in Absatz 1 genannten Kriterien, einschließlich der Wesentlichkeitsschwellen für die Bestimmung schwerwiegender
IKT-bezogener Vorfälle oder gegebenenfalls schwerwiegender zahlungsbezogener Betriebs- oder Sicherheitsvorfälle, die
der Meldepflicht nach Artikel 19 Absatz 1 unterliegen;
b) die Kriterien, die von den zuständigen Behörden anzuwenden sind, um die Relevanz schwerwiegender IKT-bezogener
Vorfälle oder gegebenenfalls schwerwiegender zahlungsbezogener Betriebs- oder Sicherheitsvorfälle für die jeweils
zuständigen Behörden in anderen Mitgliedstaaten zu bewerten, sowie die Einzelheiten in den Meldungen über
schwerwiegende IKT-bezogene Vorfälle oder gegebenenfalls schwerwiegende zahlungsbezogene Betriebs- oder
Sicherheitsvorfälle, die anderen zuständigen Behörden gemäß Artikel 19 Absätze 6 und 7 übermittelt werden müssen;
c) die in Absatz 2 genannten Kriterien, einschließlich hoher Wesentlichkeitsschwellen für die Bestimmung erheblicher
Cyberbedrohungen.
27.12.2022 DE Amtsblatt der Europäischen Union L 333/41",DORA|INCIDENT,PROCEDURE_RUNBOOK|INCIDENT_RECORD,POLICY|POSTMORTEM|TEST_EVIDENCE|TRAINING_ATTESTATION,classification|incident|reporting,,85307f9e2a0409826dd0f54489645935816d16e929f0db4db3ef15badd11d38c,0eb896db808c049c02b6aa18a6255f188a90c034976203d8edd5cc43414e205a
DORA_2022_2554|18|4|-|001,DORA_2022_2554,Art. 18(4),"4. When developing the common draft regulatory technical standards referred to in paragraph 3 of this Article, the
ESAs shall take into account the criteria set out in Article 4(2), as well as international standards, guidance and
specifications developed and published by ENISA, including, where appropriate, specifications for other economic sectors.
For the purposes of applying the criteria set out in Article 4(2), the ESAs shall duly consider the need for microenterprises
and small and medium-sized enterprises to mobilise sufficient resources and capabilities to ensure that ICT-related incidents
are managed swiftly.
The ESAs shall submit those common draft regulatory technical standards to the Commission by 17 January 2024.
Power is delegated to the Commission to supplement this Regulation by adopting the regulatory technical standards
referred to in paragraph 3 in accordance with Articles 10 to 14 of Regulations (EU) No 1093/2010, (EU) No 1094/2010
and (EU) No 1095/2010.","(4) Bei der Ausarbeitung der in Absatz 3 genannten gemeinsamen Entwürfe technischer Regulierungsstandards
berücksichtigen die ESA die in Artikel 4 Absatz 2 genannten Kriterien sowie von der ENISA entwickelte und
veröffentlichte internationale Standards, Leitlinien und Spezifikationen, gegebenenfalls einschließlich Spezifikationen für
andere Wirtschaftszweige. Für die Zwecke der Anwendung der in Artikel 4 Absatz 2 festgelegten Kriterien berücksichtigen
die ESA gebührend, dass Kleinstunternehmen sowie kleine und mittlere Unternehmen ausreichende Ressourcen und
Kapazitäten mobilisieren können müssen, um sicherzustellen, dass IKT-bezogene Vorfälle rasch bewältigt werden.
Die ESA übermitteln der Kommission diese allgemeinen Entwürfe technischer Regulierungsstandards bis zum 17. Januar",DORA|INCIDENT,PROCEDURE_RUNBOOK|INCIDENT_RECORD,POLICY|POSTMORTEM|TEST_EVIDENCE|TRAINING_ATTESTATION,classification|incident|reporting,,85307f9e2a0409826dd0f54489645935816d16e929f0db4db3ef15badd11d38c,0eb896db808c049c02b6aa18a6255f188a90c034976203d8edd5cc43414e205a
DORA_2022_2554|19|1|-|001,DORA_2022_2554,Art. 19(1),1. Financial entities shall report major ICT-related incidents to the relevant competent authority as referred to in,"(1) Finanzunternehmen melden der nach Artikel 46 jeweils zuständigen Behörde gemäß Absatz 4 schwerwiegende IKTbezogene Vorfälle.
Unterliegt ein Finanzunternehmen der Aufsicht mehr als einer nach Artikel 46 zuständigen nationalen Behörde, so
benennen die Mitgliedstaaten eine einzige zuständige Behörde als einschlägige zuständige Behörde, die für die
Wahrnehmung der im vorliegenden Artikel aufgeführten Funktionen und Aufgaben verantwortlich ist.
Kreditinstitute, die gemäß Artikel 6 Absatz 4 der Verordnung (EU) Nr. 1024/2013 als bedeutend eingestuft wurden, melden
schwerwiegende IKT-bezogene Vorfälle der gemäß Artikel 4 der Richtlinie 2013/36/EU benannten jeweils zuständigen
nationalen Behörde, die diese Meldung unverzüglich an die EZB weiterleitet.
Für die Zwecke von Unterabsatz 1 erstellen Finanzunternehmen nach Erfassung und Analyse aller relevanten
Informationen unter Verwendung der in Artikel 20 genannten Vorlage die Erstmeldung und die Meldungen nach Absatz 4
und übermitteln diese der zuständigen Behörde. Falls es aus technischen Gründen nicht möglich ist, die Erstmeldung unter
Verwendung der Vorlage zu übermitteln, teilen die Finanzunternehmen dies der zuständigen Behörde auf anderem Wege
mit.
Die Erstmeldung und die Meldungen nach Absatz 4 enthalten alle Informationen, die die zuständige Behörde benötigt, um
die Signifikanz des schwerwiegenden IKT-bezogenen Vorfalls zu ermitteln und mögliche grenzüberschreitende
Auswirkungen zu bewerten.
Unbeschadet der Meldung gemäß Unterabsatz 1 durch das Finanzunternehmen an die jeweils zuständige Behörde können
die Mitgliedstaaten zusätzlich festlegen, dass einige oder alle Finanzunternehmen die Erstmeldung und jede Meldung nach
Absatz 4 auch den gemäß der Richtlinie (EU) 2022/2555 benannten oder eingerichteten zuständigen Behörden oder
Computer-Notfallteams (computer security incident response teams — CSIRT) unter Verwendung der in Artikel 20
genannten Vorlage zur Verfügung stellen müssen.",DORA|INCIDENT,PROCEDURE_RUNBOOK|INCIDENT_RECORD,POLICY|POSTMORTEM|TEST_EVIDENCE|TRAINING_ATTESTATION,classification|incident|reporting,IKT-Vorfall|Klassifikation|Meldung,85307f9e2a0409826dd0f54489645935816d16e929f0db4db3ef15badd11d38c,0eb896db808c049c02b6aa18a6255f188a90c034976203d8edd5cc43414e205a
DORA_2022_2554|28|1|-|001,DORA_2022_2554,Art. 28(1),"1. Financial entities shall manage ICT third-party risk as an integral component of ICT risk within their ICT risk
management framework as referred to in Article 6(1), and in accordance with the following principles:
(a) financial entities that have in place contractual arrangements for the use of ICT services to run their business operations
shall, at all times, remain fully responsible for compliance with, and the discharge of, all obligations under this
Regulation and applicable financial services law;
27.12.2022 EN Official Journal of the European Union L 333/49
(b) financial entities’ management of ICT third-party risk shall be implemented in light of the principle of proportionality,
taking into account:
(i) the nature, scale, complexity and importance of ICT-related dependencies,
(ii) the risks arising from contractual arrangements on the use of ICT services concluded with ICT third-party service
providers, taking into account the criticality or importance of the respective service, process or function, and the
potential impact on the continuity and availability of financial services and activities, at individual and at group
level.","(1) Finanzunternehmen managen das IKT-Drittparteienrisiko als integralen Bestandteil des IKT-Risikos innerhalb ihres
IKT-Risikomanagementrahmens nach Artikel 6 Absatz 1 und im Einklang mit den folgenden Prinzipien:
a) Finanzunternehmen, die vertragliche Vereinbarungen über die Nutzung von IKT-Dienstleistungen für die Ausübung
ihrer Geschäftstätigkeit getroffen haben, bleiben jederzeit in vollem Umfang für die Einhaltung und Erfüllung aller
Verpflichtungen nach dieser Verordnung und nach dem anwendbaren Finanzdienstleistungsrecht verantwortlich.
27.12.2022 DE Amtsblatt der Europäischen Union L 333/49
b) Beim Management des IKT-Drittparteienrisikos tragen Finanzunternehmen dem Grundsatz der Verhältnismäßigkeit
Rechnung, wobei Folgendes zu berücksichtigen ist:
i) die Art, das Ausmaß, die Komplexität und die Relevanz IKT-bezogener Abhängigkeiten,
ii) die Risiken infolge vertraglicher Vereinbarungen über die Nutzung von IKT-Dienstleistungen, die mit IKTDrittdienstleistern geschlossen wurden, wobei die Kritikalität oder Relevanz der jeweiligen Dienstleistungen,
Prozesse oder Funktionen sowie die potenziellen Auswirkungen auf die Kontinuität und Verfügbarkeit von
Finanzdienstleistungen und -tätigkeiten auf Einzel- und Gruppenebene zu berücksichtigen sind.",DORA|RoI|TPRM,REGISTER_INVENTORY|POLICY,RISK_ASSESSMENT|DUE_DILIGENCE|MONITORING_REVIEW|EXIT_BCP_DR,audit rights|clause|contract,Klausel|Prüfrechte|Vertrag,85307f9e2a0409826dd0f54489645935816d16e929f0db4db3ef15badd11d38c,0eb896db808c049c02b6aa18a6255f188a90c034976203d8edd5cc43414e205a
DORA_2022_2554|28|10|-|001,DORA_2022_2554,Art. 28(10),"10. The ESAs shall, through the Joint Committee, develop draft regulatory technical standards to further specify the
detailed content of the policy referred to in paragraph 2 in relation to the contractual arrangements on the use of ICT
services supporting critical or important functions provided by ICT third-party service providers.
When developing those draft regulatory technical standards, the ESAs shall take into account the size and the overall risk
profile of the financial entity, and the nature, scale and complexity of its services, activities and operations. The ESAs shall
submit those draft regulatory technical standards to the Commission by 17 January 2024.
Power is delegated to the Commission to supplement this Regulation by adopting the regulatory technical standards
referred to in the first subparagraph in accordance with Articles 10 to 14 of Regulations (EU) No 1093/2010, (EU)
No 1094/2010 and (EU) No 1095/2010.","(10) Die ESA erarbeiten über den Gemeinsamen Ausschuss Entwürfe für technische Regulierungsstandards, um den
detaillierten Inhalt der Leitlinie, die in Absatz 2 in Bezug auf die vertraglichen Vereinbarungen über die Nutzung von IKTDienstleistungen zur Unterstützung kritischer und wichtiger Funktionen, die von IKT-Drittdienstleistern bereitgestellt
werden, genannt wird, weiter zu spezifizieren.
Bei der Ausarbeitung dieser Entwürfe technischer Regulierungsstandards berücksichtigen die ESA die Größe und das
Gesamtrisikoprofil des Finanzunternehmens sowie die Art, den Umfang und die Komplexität seiner Dienstleistungen,
Tätigkeiten und Geschäfte. Die ESA übermitteln der Kommission diese Entwürfe technischer Regulierungsstandards bis
zum 17. Januar 2024.
Der Kommission wird die Befugnis übertragen, die vorliegende Verordnung durch Annahme der in Unterabsatz 1
genannten technischen Regulierungsstandards gemäß den Artikeln 10 bis 14 der Verordnungen (EU) Nr. 1093/2010, (EU)
Nr. 1094/2010 und (EU) Nr. 1095/2010 zu ergänzen.",DORA|RoI|TPRM,REGISTER_INVENTORY|POLICY,RISK_ASSESSMENT|DUE_DILIGENCE|MONITORING_REVIEW|EXIT_BCP_DR,audit rights|clause|contract,Klausel|Prüfrechte|Vertrag,85307f9e2a0409826dd0f54489645935816d16e929f0db4db3ef15badd11d38c,0eb896db808c049c02b6aa18a6255f188a90c034976203d8edd5cc43414e205a
